category,title,date,content,url
세계,"미 국방 '꼬마거북 마약선 격추' 패러디에…출판사 ""폭력적 사용""",2025.12.02,"미국 국방장관이 올린 사진과 국방장관 본인 사진 미국 전쟁부 장관이, 동화책 '꼬마 거북 프랭클린' 주인공이 마약선을 격침하는 이미지를 자신의 SNS에 올렸다가 출판사의 항의를 받았습니다.출판사 키즈 캔 프레스는 1일 공식 SNS에 성명을 올리고 ""프랭클린은 친절과 공감, 포용을 상징하는 캐나다 아이콘""이라며 ""프랭클린의 이름이나 이미지가 비하적이나 폭력적으로 무단 사용되는 것을 강력히 규탄한다""고 밝혔습니다.꼬마 거북 프랭클린은 1986년 캐나다에서 첫 작품이 발표된 이후 수십편의 속편이 출판된 인기 동화 시리즈입니다.헤그세스 장관은 미군 헬기에 탄 프랭클린이 무장한 마약사범이 탑승한 선박을 향해 바주카포를 발사하는 장면을 담은 이미지를 지난달 30일 SNS에 올렸습니다.이는 최근 현지 언론 보도를 통해 퍼진 '미군 국제법 위반 논란'을 염두에 둔 행동으로 풀이됩니다.앞서 지난 9월 미군이 카리브해에서 '마약 운반선'을 격침할 당시, 생존자들이 있었지만 국방부 장관의 전원 살해 명령에 따라 이들마저 살해했다는 논란이 확산했습니다.출판사의 항의 성명에 대해 션 파넬 전쟁부 대변인은 ""꼬마 거북 프랭클린이 마약 카르텔을 포용하거나, 마약 테러리스트의 친절과 공감을 칭송하려 할 것이라고 생각하지 않는다""고 반박했습니다.#동화책 #카리브해 #마약선 #프랭클린 #전쟁부연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23",https://n.news.naver.com/mnews/article/422/0000807853?sid=104
세계,"중일 갈등, 영유권 분쟁 센카쿠로 번져…中해경 “日어선 퇴거”",2025.12.02,"중·일 양국이 영토분쟁 중인 센카쿠 열도. 다카이치 사나에 일본 총리가 ‘대만 유사 시 자위대의 무력 개입’을 시사한 이후 중일 갈등이 격화된 가운데, 중국 해경이 일본과 영토 분쟁 지역인 오키나와현 센카쿠 열도 인근에서 조업 중인 일본 어선을 몰아냈다. 센카쿠 열도는 일본이 실효 지배하고 있으나, 중국이 영유권을 주장하는 지역이다.2일 중국 관영 신화통신에 따르면, 류더쥔 해경국 대변인은 이날 성명에서 “일본 어선 즈이호마루호가 2일 중국 댜오위다오 영해에 불법 진입했다”면서 “중국 해경 함정은 법에 따라 필요한 통제 조치를 취하고 경고해 퇴거시켰다”고 밝혔다.류더쥔은 이어 “댜오위다오와 그 부속 도서들은 중국 고유의 영토”라며 “일본은 이 해역에서 모든 권리 침해와 도발 활동을 즉각 중단할 것을 촉구한다”고 강조했다. 일본 해경은 중국 선박 2척이 센카쿠열도 인근 해역에서 일본 어선 한 척에 접근해서 쫓아냈다고 발표했다.린젠 외교부 대변인은 전날 브리핑에서 일본 정부가 도쿄 영토주권전시관에 센카쿠 영유권 주장 근거를 추가한 데 대해 “댜오위다오 주권은 역사적 맥락이 명확하고 법적 근거도 확실하다”며 “일본이 설득력 없는 이른바 역사 자료를 온갖 방법으로 끌어모으고 있다”고 주장했다. 주일 중국대사관이 센카쿠 열도 영유권을 최근 주장했다. 산케이신문은 “중국이 일부러 공개한 이유는 중국이 일본을 압박하고 있다는 걸 국내외에 알리려는 노림수”라고 분석했다. 지난달 16일에도 함포를 탑재한 중국 해경선 4척이 일본 해경보안청 순시선의 퇴거 명령을 무시하고 센카쿠 인근 영해에 진입했다. 당시 중국 해경국은 소셜미디어에 “댜오위다오의 해역을 순찰했으며, 이는 법에 따른 합법적인 권리”라고 밝혔다.중국은 유엔 사무총장에게 잇달아 서한을 보내며 갈등을 국제 공방으로도 확전시키고 있다. 중국 국영 CCTV에 따르면 푸충 주유엔 중국대사는 2일 구테흐스 사무총장에게 보낸 서한에서 “일본이 근거 없이 중국을 비난하며 핵심을 피하고 책임을 전가하고 있다”며 “중·일 관계의 안정적 발전을 원한다면 잘못된 발언을 즉각 철회하고 중국에 대한 약속을 행동으로 이행해야 한다”고 밝혔다.그는 지난달 21일 보낸 서한에서도 “일본이 대만 문제에 군사 개입하려는 야심을 처음 드러낸 것이며 중국에 무력 위협을 가한 첫 사례”라고 비판했다. 야마자키 가즈유키 주유엔 일본대사도 지난달 25일 서한에서 “중국이 불투명한 방식으로 군사력을 확장하며 힘과 위압을 통한 일방적 현상 변경을 시도하고 있다”고 반박했다.중일 대립이 1년 이상 장기화하며 전장이 지속적으로 확대될 가능성도 제기된다. 일본에 대한 중국의 압박은 대만 해협 위기 상황을 가정한 사전 억지 성격이 있는데다, ‘항일전쟁 승리 80년’을 대대적으로 선전하는 와중에 일본에 물러서는 모습을 보여줄 수도 없는 탓이다. 인민일보·신화통신·환구시보·CCTV 등 관영 매체는 군사전문가·학자들을 총동원해 대일 비난 수위를 끌어올리고 있다. 중국 지도부가 다카이치가 1~2년 임기의 단명 총리로 끝날 것으로 보고, 그 기간 관계 악화를 감수하기로 할 수 있다는 전망도 나온다.조선일보 국제부가 픽한 글로벌 이슈!원샷 국제뉴스 더보기",https://n.news.naver.com/mnews/article/023/0003944454?sid=104
세계,"다카이치 총리, 연설 중 ""닥치고 전부 나한테 투자해"" 발언",2025.12.02,"다카이치 사나에 일본 총리가 국제 투자포럼 연설에서 일본 애니메이션 '진격의 거인' 명대사를 인용하며 ""닥치고 전부 내게 투자하라""고 외쳐 화제를 모았다. 다카이치 사나에 일본 총리가 국제 투자포럼 연설에서 일본 애니메이션 '진격의 거인' 명대사를 인용하며 ""닥치고 전부 내게 투자하라""고 외쳐 눈길을 끌었다. 2일 아사히신문·요미우리신문 등에 따르면 다카이치 총리는 전날 도쿄에서 열린 '미래 투자 이니셔티브 프라이어리티 아시아' 행사에서 투자 확대를 요청하는 과정에서 이 같은 발언을 했다.그는 AI·조선 등 전략 산업 분야에서 민관 투자를 강화해 경제 성장을 견인하겠다는 구상을 설명하며 해외 투자자들에게 대일 투자를 적극적으로 검토해달라고 호소했다.연설 말미에는 ""사우디에서 일본 만화와 애니메이션이 엄청난 인기를 끌고 있다는 걸 알고 있다. '캡틴 츠바사', '원피스', '귀멸의 칼날' 같은 작품이 떠오른다""고 이야기했다.그러면서 ""하지만 오늘은 진격의 거인의 명대사를 빌려 연설을 마무리하고 싶다""며 ""됐으니까 닥치고 전부 나한테 투자해!""라고 외쳤다. 이는 작품 속 주인공 엘렌 예거의 대사를 영어로 옮긴 표현이다. 주인공 엘렌이 해당 대사를 외치는 장면 한편 FII는 사우디 빈 살만 왕세자가 주도하는 국제 투자 포럼으로 '사막의 다보스'라고도 불린다. 일본에서 개최된 이번 행사는 지난달 30일부터 이틀간 열렸으며 일본 정부가 중동 자본 유치에 속도를 내는 자리이기도 했다.",https://n.news.naver.com/mnews/article/031/0000985842?sid=104
세계,"대만 외교부장 ""중일 갈등 안정에 1년 걸릴 수도""…장기화 우려",2025.12.02,"홍콩매체 ""中, 미일동맹 압박 우려 적어…日도 내각 지지율 고공행진"" 시진핑 중국 국가주석과 다카이치 사나에 일본 총리 차병섭 기자 = 일본 총리의 '대만 유사시' 개입 시사 발언으로 촉발된 중일 분쟁이 이어지는 가운데, 대만 외교 수장이 ""상황이 안정되려면 1년이 걸릴 수 있다""고 예상했다. 린자룽 대만 외교부장은 2일 블룸버그TV 인터뷰에서 이같이 말하면서 대만 관련 갈등이 악화하는 것은 누구에게도 도움이 되지 않는다고 강조했다. 그는 또 ""중국의 입장에서도 갈등 고조는 국익에 부합하지 않는다""면서 양측이 이견을 해소할 방안을 찾을 수 있기를 바란다고 말했다. 린 부장은 구체적인 국가명을 거론하지 않으면서도 '뜻을 같이하는' 국가 대표들과 이번 갈등에 대해 논의했다면서, 분쟁 발생 전후로 여러 국가와 소통했다고 밝혔다. 이어 미중 정상 통화 이후 도널드 트럼프 미 대통령이 대만을 언급하지 않은 것 등과 관련해서는 "" 인도·태평양 지역 안보에 대한 트럼프 행정부의 헌신은 의심의 여지가 없다""고 말했다. 그는 일본에 대한 대만의 지지 입장을 재확인하면서 ""우리는 부드러운 접근법을 통해 지지를 보여주고 있다""고 밝혔다. 그러면서 상황 진정을 돕기 위해 노력하고 있다고 설명했다. 앞서 다카이치 사나에 일본 총리는 지난달 7일 중의원에서 '대만 유사시'는 일본이 집단 자위권을 행사할 수 있는 '존립 위기 사태'에 해당할 수 있다며 대만이 공격받을 경우 일본이 자위권 차원에서 무력 개입할 수 있다고 시사했다. 이후 중국이 경제적 타격 조치를 연이어 내놓고 군사 대비 태세를 강조하는 등 갈등이 격화하고 있으며, 중국은 다카이치 총리의 발언 철회를 계속 요구하고 있다. 홍콩매체 성도일보도 현 상황을 고려할 때 중일 관계가 계속 나빠질 가능성이 있다고 우려했다. 도널드 트럼프 미 대통령이 지난달 25일 통화에서 다카이치 총리에게 '대만 문제로 중국을 자극하지 말라'고 조언했다는 월스트리트저널 보도 등을 고려하면, 중국이 미일 동맹의 압박에 직면할 가능성이 낮다고 평가할 수 있다. 또 중국이 국력 면에서 일본을 앞선 만큼 이번 기회에 일본을 버릇을 고쳐놓아야 한다고 생각할 수 있다는 게 성도일보 해석이다. 반면 일본 입장에서도 총리가 국가를 대표해 한 발언을 외국의 일방적 압력 때문에 철회한 역사적 전례를 찾기 어려운 상황이다. 중일 갈등 이후 다카이치 내각의 지지율이 75%에 이르는 점도 발언 철회 가능성을 낮게 보는 배경으로 꼽힌다고 성도일보는 덧붙였다. bscha@yna.co.kr",https://n.news.naver.com/mnews/article/001/0015774455?sid=104
세계,"중국 해경 ""일본 어선 퇴거조치""...센카쿠 열도 대치",2025.12.02,"일본 총리의 '타이완 유사시 개입' 발언으로 중일 갈등이 격화되는 가운데 양국의 영유권 분쟁 수역이 센카쿠열도, 중국명 댜오위다오에서 해상 대치가 벌어졌습니다.중국 해경국은 ""일본 어선이 불법으로 우리 영해에 진입했다""며 ""해경 함정이 법에 따라 필요한 통제 조치를 하고 경고와 퇴거 조치를 실시했다""고 밝혔습니다.이어 ""댜오위다오와 부속 섬들은 중국의 고유 영토""라며 ""일본은 이 해역에서 모든 활동을 즉시 중단해야 한다""고 주장했습니다.센카쿠 열도는 일본이 실효 지배하고 있지만, 중국이 영유권을 주장하는 곳입니다.양국은 이 일대에 순시선과 어선을 교대로 투입하며 상대방 선박에 퇴거를 요구하는 등 긴장 상태를 이어오고 있습니다.※ '당신의 제보가 뉴스가 됩니다' YTN 검색해 채널 추가 02-398-8585 social@ytn.co.kr",https://n.news.naver.com/mnews/article/052/0002281411?sid=104
세계,오픈AI 공동창업자 수츠케버 AI 한계론 제기…“강화학습만으론 AI 더 못나가”[이규화의 글로벌먀],2025.12.02,"강화학습 방식은 결코 AGI로 나아가지 못해새로운 방식 필요 지적에서 얀 르쿤과 의견 일치수년간 집착해 온 ‘스케일링’ 전략은 한계에 도달양이 아닌 알고리즘 학습방식 등 질적 도약 요구돼생성형 AI 활성화 지금이 ‘연구의 시대’로 귀환 시점 AI 연구소 세이프 슈퍼인텔리전스를 공동 설립한 동료들과 함께한 수츠케버. 로이터 연합뉴스 자료사진오픈AI의 공동 창업자이자 수석과학자를 역임한 일리야 수츠케버가 현재 생성형 AI와 인공일반지능 개발 방향에 회의적인 입장을 밝혔다.수츠케버는 IT 전문매체 디인포케이션과 1일 인터뷰에서 현재 AI 개발 패러다임에 대한 근본적 재검토가 필요하다고 주장했다. 그는 자신이 설립한 새 연구소의 방향성, 그리고 AGI에 대한 그의 정의 및 기대를 밝혔다.수츠케버는 강화학습 방식의 기존 생성형 AI 개발 방향은 실제 ‘사람 수준의 일반 지능’으로 발전하는데 제약이 있다고 지적했다.많은 AI 개발자들이 RL을 이용해 모델이 특정 벤치마크나 시뮬레이션 과제에서 높은 성능을 내도록 훈련하지만, 이는 ‘평가용 과제’에 국한된 능력을 키우는 것에 불과하다는 것이다.디시말해, 그렇게 길러진 모델은 훈련할 때 쓰이지 않았던 새로운 실제 세계 과제 앞에서는 제대로 일반화하지 못할 가능성이 크다는 지적이다.수츠케버의 주장은 강화학습 AI 연구 대가로 불리는 얀 르쿤 메타 수석과학자와 결을 같이해 주목된다. 얀 르쿤은 현재와 같은 RL 방식이 아닌 새로운 AI 아키텍처가 3~5년 내 등장할 것이라고 주장한 바 있다.수츠케버는 AGI에 대해 흔히 통용되는 “AI가 인간을 넘어서는 모든 노동 영역에서 효율성과 속도 면에서 인간을 능가하는 지능”이라는 정의에 의문을 제기한다.대신 그는, AGI가 “마치 십대가 자동차 운전을 몇 시간만 연습하고 실제 도로에서 운전할 수 있게 되듯이, 어떤 작업을 처음 접해도 ‘배우면서’ 탁월하게 해낼 수 있는 능력”을 갖춘 기계 지능이어야 한다고 말했다. 그리고 안타깝게도 지금은 그런 기계를 만드는 방법을 아무도 모른다는 게 그의 생각이다.이런 이유로 수츠케버는 현재 AI 업계가 수년간 집착해 온 ‘스케일링’ 위주의 전략이 한계에 도달했다고 주장했다.그는 최근 한 팟캐스트에 나와서도 “데이터는 유한하고, 계산 자원은 이미 충분히 많다. 만약 단지 100배 더 계산 자원을 늘린다고 해서 모든 것이 바뀌겠느냐?”며 근본적 의문을 던졌다. 그는 이제는 “대연산을 가진 채로 다시 연구의 시대로 돌아갈 때”라고 선언했다.그는 AI 산업이 스펙 경쟁, 규모 경쟁에만 몰두하고 있다고 보고, 그 흐름이 실제로 인간 수준의 일반 지능으로 이어진다는 보장이 없다고 경고했다.특히 인간처럼 “적은 데이터·적은 경험으로도 새로운 상황을 빠르게 학습하고 대응하는 능력”을 기계가 갖추려면, 지금과는 전혀 다른 연구 방식이 필요하다고 했다.이는 지금까지의 ‘양적인 성장’이 아닌 ‘질적인 도약’이 요구된다는 의미다.한편, 그의 AGI에 대한 타임라인은 신중하다. AGI 개발이 향후 5년에서 20년 사이에 이뤄질 수 있다고 가정했지만, 동시에 “아무도 그걸 어떻게 만들지 모른다”고 떨어놨다. “곧 AGI가 온다”는 식의 주장에 과민하게 기대를 걸지 말아야 한다는 권고다.그의 이 같은 회의적이고 절제된 관점은, 생성형 AI의 단기적인 상업 성장과 수익성 중심 전략이 장기적으로는 오히려 AGI 개발의 가능성을 축소시킬 수 있다는 점을 시사한다고 디인포메이션은 짚었다.결국 수츠케버는 AI 개발에서 “속도와 규모보다 연구와 근본적 원리에 집중할 시간이 왔다”는 점을 강조했다. 특히 생성형 AI를 서비스, 업무 도구, 콘텐츠 제작 등에서 빠르게 활용하며 ‘가능성’에 열광하는 지금이야말로 차분히 ‘연구의 시대’로 귀환할지를 고민해야 할 시점이라는 것이다.",https://n.news.naver.com/mnews/article/029/0002997045?sid=104
세계,"한미 ""원자력·핵잠 실무 협의체 조속 가동 합의""",2025.12.02,"경주 정상회담 이후 첫 한미 외교차관 회담 열려한미 외교차관 회담 ""팩트시트 신속 이행 합의""원자력·핵잠 등 분야별 실무협의체 조속 가동 합의미 상무 ""11월 1일부터 한국 차 관세 15%로 인하"" 한미가 경주 정상회담에서 합의한 원자력과 핵 추진 잠수함 추진 등 합의사항의 신속 이행을 위한 실무 협의체를 조속히 가동하기로 했습니다.미국 상무부는 한국과의 무역 합의에 따라 한국산 자동차 관세를 11월 1일부터 소급해 15% 인하한다고 발표했습니다.워싱턴 홍상희 특파원입니다. 박윤주 외교부 1차관이 미 국무부 청사로 들어섭니다.지난 10월 말 경주 APEC 정상회의 계기로 열린 한미 정상회담과 지난달 공동 팩트 시트 발표 이후 처음으로 외교차관 회담이 열렸습니다.약 40여 분 동안 진행된 회담에서 한미는 합의 사항을 담은 팩트 시트의 신속한 이행에 나서기로 의견을 모았습니다.원자력과 조선 협력, 핵 추진 잠수함 등 주요 분야에서의 후속 조치 이행을 위해 실무 협의체도 분야별로 조속히 가동하기로 했습니다.박 차관은 이 자리에서 한국의 민간 우라늄 농축과 핵연료 재처리를 위한 협의도 조속히 협의하자고 요청했습니다.한미 정상회담 이후 이뤄진 첫 고위급 회담에서 크리스토퍼 랜도 미 국무부 부장관은 한국의 투자가 미국의 재산업화에 기여할 것이라며 조선업 등 핵심 전략 부문에서의 투자를 거듭 환영했습니다.미 국무부는 한미 외교차관이 팩트 시트 이행과 함께 한미 동맹 현대화에 대해서도 논의했다고 설명했습니다.박윤주 차관이 이번 회담에서 미국의 조속한 관세 인하 조치를 촉구한 가운데 미 상무부는 한국산 자동차 관세를 지난달 1일부터 15% 소급 인하한다고 발표했습니다.한미가 팩트 시트 신속 이행에 합의하며 협상의 틀을 다지면서 우라늄 농축과 재처리 권한을 확보하기 위한 한미 원자력 협의체 등을 구성하기 위한 실무급 논의에도 속도를 낼 것으로 보입니다.워싱턴에서 YTN 홍상희입니다.촬영 : 강연오※ '당신의 제보가 뉴스가 됩니다' YTN 검색해 채널 추가 02-398-8585 social@ytn.co.kr",https://n.news.naver.com/mnews/article/052/0002281213?sid=104
세계,"""ECB, 러 동결자산 활용 '우크라 대출' 보증 거부…EU계획 차질""",2025.12.02,"우크라 대출 '최종 대부자' 요청에 ""EU 조약상 권한과 충돌""EU 대출 추진 불확실성 커져…벨기에, 회원국 연대 보증 요구 EU 집행위원회 본부 앞의 EU기. 2025.07.16 ⓒ 로이터=뉴스1 ⓒ News1 이지예 객원기자 양은하 기자 = 유럽중앙은행이 동결된 러시아 자산을 담보로 우크라이나에 1400억 유로를 지원하는 유럽연합의 '배상금 대출' 계획 지원을 사실상 거부한 것으로 알려졌다.2일 파이낸셜타임스에 따르면 ECB는 대출금 상환 위험을 ECB가 사실상 보증하는 EU 집행위원회의 대출 구상이 ECB의 권한을 벗어난다고 결론지었다.EU 집행위는 벨기에 유로클리어에 묶여 있는 러시아 중앙은행 자산 2100억 유로를 담보로 우크라이나에 대출을 제공하는 방안을 추진해 왔다.그러나 향후 대러 제재가 해제될 경우 유로클리어가 즉시 상환할 자금이 부족할 수 있다는 점이 위험 요소로 지적되자, EU 집행위는 ECB에 '최종 대부자'로 개입해 유동성 위기를 막아 달라고 요청했다.복수의 관계자들에 따르면 ECB는 내부 분석을 통해 이같은 방식이 회원국들이 부담해야 할 재정 의무를 중앙은행이 떠안는 구조, 즉 사실상 정부에 대한 간접 자금 지원과 동일하다는 결론을 내렸다.EU 조약법 제123조에 따르면 회원국 정부나 EU 기관에 중앙은행이 직접 자금 제공하는 것을 금지한다. ECB는 EU 집행위의 제안이 해당 조항을 위반한 소지가 있다며 ""검토 대상이 될 수 없다""고 밝혔다.ECB의 거절 이후 EU 집행위는 대출을 보완할 임시 유동성 장치 등 대안 마련에 나섰다. 하지만 대출 추진의 불확실성이 커지고 있다.FT는 ""미국이 러시아와 우크라이나 간 평화 협정을 추진하고 있고 트럼프 행정부가 러시아의 동결 자산 활용에 대한 대안을 제시하면서 EU 전반에 우려가 확산되고 있다""고 짚었다.특히 벨기에는 미국과 러시아 간 평화 협정 체결로 EU 제재가 무효가 되고 유로클리어가 러시아에 1400억 유로를 즉각 상환해야 하는 상황이 발생할지 우려하며 대출에 반대해 왔다.바르트 더 베버 벨기에 총리는 EU의 계획이 ""근본적으로 잘못됐다""며 대출 상환 위험을 분담하기 위해 다른 회원국들이 법적 구속력이 있는 연대 보증에 서명해야 한다고 요구했다.유럽 당국자들은 오는 18일 열리는 EU 정상회의에서 향후 우크라이나 금융 지원 방안을 타결 지을 것으로 예상된다.",https://n.news.naver.com/mnews/article/421/0008638262?sid=104
세계,“화장실 사용 15분 넘으면 벌금?”… 中 업체 CCTV 감시 논란,2025.12.02,"중국의 한 제조업체가 직원들의 화장실 이용 장면을 몰래 촬영하고 사용 시간이 15분을 넘으면 벌금을 부과했다는 주장이 제기되며 비난이 커지고 있다. 사진=엑스 캡쳐중국의 한 제조업체가 직원들의 화장실 이용 장면을 몰래 촬영하고 사용 시간이 15분을 넘으면 벌금을 부과했다는 주장이 제기되며 비난이 커지고 있다. 이런 규정 때문에 회사를 떠난 직원도 있는 것으로 전해졌다.지난 27일 중국 펑파이신문에 따르면 장쑤성 난징에 위치한 한 자동차 부품 공장 직원은 화장실 앞에 설치된 CCTV로 출입 내역이 모두 기록됐고, 15분 이상 머무르면 450위안을 물어야 한다는 폭로 글을 SNS에 올렸다.영상에는 지난 3월 18~20일 사이 작업복을 착용한 직원 8명이 화장실을 이용한 시간이 표시돼 있었고, 평균 사용 시간은 12~16분 사이였다.게시물을 올린 A씨는 해당 업체에서 일한 경험이 있다며 “회사 측이 화장실 이용을 15분 이내로 제한했고 기준을 넘으면 벌금을 내야 했다”고 주장했다. 이어 “횟수가 많다는 이유로도 벌금을 내야했다”며 “기준은 모두 관리자 마음에 달려 있었다”고 꼬집었다. 배탈 등 급한 상황에서도 벌금을 피하려고 참아야 했다는 직원들의 증언도 나왔다.이 소식이 퍼지자 온라인에서는 “기본적인 생리 현상까지 통제하는 건 명백한 인권 침해”, “감시사회 그 자체”, “이러다 화장실 감시 전담 직원까지 두겠다” 등 비난이 쇄도했다. 일부 직원들은 실제로 이 규정이 부담돼 퇴사한 것으로 전해졌다.논란이 확산되자 회사 측은 “정식으로 벌금을 징수한 적은 없다”면서도 “근무 중 자리 이탈을 줄이기 위해 내부 기준을 마련한 것”이라고 해명했다.",https://n.news.naver.com/mnews/article/030/0003376399?sid=104
세계,“문화재가 사라진다”… 日 박물관 덮친 '종이 먹는 벌레',2025.12.02,"고스트 실버피시. 사진=SCMP 캡쳐일본에서 종이류를 갉아먹는 해충이 빠르게 퍼지면서 고문서·서책·두루마리 등 문화재 자료가 심각한 훼손 위험에 놓였다는 우려가 제기되고 있다.28일 홍콩 사우스차이나모닝포스트는 '고스트 실버피시'로 알려진 이 해충이 일본 곳곳으로 번져 문화재 보존 전문가들에게 경고 신호가 켜졌다고 전했다.이 벌레는 크기가 약 1cm 정도이며, 1910년 스리랑카에서 처음 보고됐다. 일본에서는 2022년에 처음 확인됐고, 해외 화물이나 관광객의 짐을 통해 유입된 것으로 추정된다. 현재 19개 현의 여러 기관에서 이 해충의 흔적이 발견되고 있다.일본에도 오래전부터 종이를 먹는 벌레는 존재했지만, '고스트 실버피시'는 유난히 빠른 증식 속도로 인해 새로운 위협으로 분류되고 있다.한 전문가는 “기존에도 고서·고문서를 훼손하는 해충은 있었지만, 이 종은 퍼지는 속도가 매우 빠르다”며 “대응이 늦어지면 피해 규모가 기하급수적으로 커질 수 있다”고 강조했다.도쿄문화재연구소는 번식을 억제하기 위해 보존 환경의 온도를 20℃ 이하로 유지할 것을 권고했지만, 많은 유물 컬렉션이 20℃ 이상에서 보관돼야 하는 특성을 가진 경우가 많아 실제 적용에는 제약이 있는 것으로 전해졌다.연구진은 전시 공간과 수장고의 집중 청소를 통해 섬유질 유기물·해충 사체 등 먹이가 되는 물질을 제거하고, 여름·가을 번식기에는 훈증 소독을 도입하는 방안을 제시했다. 이 연구소는 최근 독성 미끼 샘플을 무료로 배포하며 방제 작업을 지원하고 있다.전문가들은 현 추세가 지속될 경우 일본의 기록 문화재가 장기간 타격을 받을 것이 확실하다며 국가 차원의 방제 매뉴얼과 대응 시스템을 신속히 정비해야 한다고 지적한다.츠지카와 아츠시 일본 문헌보존기관협회 회장은 “보존시설, 큐레이터, 기록 관리자 간의 정보 교류가 부족할 경우 피해 확산이 더 커질 수 있다”며 기관 간 협력 체계 구축을 촉구했다.",https://n.news.naver.com/mnews/article/030/0003376397?sid=104
